0	SymbolOf
1	RelatedTo
2	dbpedia/influencedBy
3	Synonym
4	IsA
5	dbpedia/capital
6	NotDesires
7	dbpedia/genus
8	MotivatedByGoal
9	FormOf
10	CausesDesire
11	HasLastSubevent
12	dbpedia/field
13	EtymologicallyRelatedTo
14	InstanceOf
15	DistinctFrom
16	HasFirstSubevent
17	HasProperty
18	Entails
19	NotCapableOf
20	dbpedia/knownFor
21	DefinedAs
22	UsedFor
23	Antonym
24	DerivedFrom
25	dbpedia/occupation
26	LocatedNear
27	HasContext
28	HasPrerequisite
29	PartOf
30	HasA
31	CreatedBy
32	Causes
33	NotHasProperty
34	MadeOf
35	SimilarTo
36	CapableOf
37	AtLocation
38	MannerOf
39	dbpedia/language
40	EtymologicallyDerivedFrom
41	ReceivesAction
42	Desires
43	HasSubevent
44	dbpedia/leader
45	dbpedia/genre
46	dbpedia/product
